blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1747308624362212864,1747308624622460928,260.248064
2,1747308627605311744,1747308627795434752,190.123008
3,1747308650396380928,1747308650681753856,285.372928
4,1747308654325099776,1747308654705485824,380.38604799999996
5,1747308663894022912,1747308664114145792,220.12287999999998
6,1747308667211995904,1747308667442245888,230.24998399999998
7,1747308667772620800,1747308668027864832,255.24403199999998
8,1747308669348978944,1747308669579226880,230.24793599999998
9,1747308670264846848,1747308670510095872,245.249024
10,1747308670745342720,1747308671045593856,300.251136
11,1747308671611085824,1747308671856333824,245.248
12,1747308678207281920,1747308678502529792,295.247872
13,1747308683341990912,1747308683662362880,320.371968
14,1747308707259301888,1747308707519543808,260.24192
15,1747308743974364928,1747308744189489920,215.124992
