fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
1,1747308620913990829,1747308621394486829,480.496,779.37494,696.7495
2,1747308621424486829,1747308621664734829,240.248,832.2967,690.0653
3,1747308621699733829,1747308622605601829,905.8679999999999,771.1644,701.46313
4,1747308622665726829,1747308623000980829,335.25399999999996,841.4194,864.3836
5,1747308623066097829,1747308623186221829,120.124,718.2426,652.63257
6,1747308623211221829,1747308623946840829,735.6189999999999,757.7867,692.3019
7,1747308624031965829,1747308624377212829,345.24699999999996,852.2043,861.4967
8,1747308624547461829,1747308624692584829,145.123,808.3045,724.5608
9,1747308624752584829,1747308625112956829,360.37199999999996,990.7436,727.12885
10,1747308625162955829,1747308625418212829,255.25699999999998,800.0469,623.04645
11,1747308625528328829,1747308625648452829,120.124,519.6004,622.3992
12,1747308625728576829,1747308626023829829,295.253,886.2045,740.18695
13,1747308626048826829,1747308626379071829,330.245,811.6021,702.15045
14,1747308626419195829,1747308626659444829,240.249,717.5265,619.0258
15,1747308626694443829,1747308626919566829,225.123,640.47845,588.25385
16,1747308626964691829,1747308627335063829,370.37199999999996,816.28674,696.2368
17,1747308627375074829,1747308627470187829,95.113,758.1687,612.7629
18,1747308627695310829,1747308627855559829,160.249,853.07104,721.7549
19,1747308627935568829,1747308628065682829,130.114,530.4915,560.29724
20,1747308628110682829,1747308628441054829,330.37199999999996,751.70483,647.62036
21,1747308628466054829,1747308628791430829,325.376,781.577,675.569
22,1747308628831426829,1747308630322789829,1491.3629999999998,743.9482,647.23267
23,1747308630357789829,1747308630718161829,360.37199999999996,780.4638,674.6867
24,1747308630753161829,1747308631113533829,360.37199999999996,812.1176,660.5618
25,1747308631143533829,1747308631614029829,470.496,860.396,653.4981
26,1747308631669029829,1747308631789153829,120.124,631.6499,687.2069
27,1747308631814152829,1747308632029401829,215.249,692.94055,687.0639
28,1747308632069403829,1747308632319649829,250.24599999999998,768.25214,700.8933
29,1747308632359648829,1747308632519772829,160.124,829.73425,698.83057
30,1747308632544909829,1747308632925144829,380.23499999999996,821.87976,730.40814
31,1747308632960268829,1747308633200516829,240.248,888.40643,741.2334
32,1747308633235516829,1747308635983005829,2747.489,808.18835,752.38727
33,1747308636083119829,1747308636168243829,85.124,708.4916,433.9192
34,1747308636218243829,1747308636368366829,150.123,632.9427,449.41608
35,1747308636408502829,1747308636998986829,590.4839999999999,656.03876,608.1929
36,1747308637018986829,1747308638200102829,1181.116,726.27313,552.8259
37,1747308638230102829,1747308638325229829,95.127,747.5033,550.9393
38,1747308638395225829,1747308638600474829,205.249,589.9626,819.00104
39,1747308638770597829,1747308638870722829,100.125,831.26227,541.6957
40,1747308638910721829,1747308639185973829,275.252,669.0722,701.7921
41,1747308639271093829,1747308639471342829,200.249,1009.55743,542.16565
42,1747308639501342829,1747308639661465829,160.123,871.30133,584.2811
43,1747308639736594829,1747308639916713829,180.119,1032.7327,780.8379
44,1747308639951716829,1747308640131836829,180.12,1005.8701,770.3319
45,1747308640226961829,1747308640432209829,205.248,571.2862,609.12744
46,1747308640472209829,1747308640647332829,175.123,752.71356,591.94495
47,1747308640782456829,1747308640937705829,155.249,708.2188,960.57764
48,1747308640987707829,1747308641137829829,150.12199999999999,930.533,880.9122
49,1747308641242953829,1747308641658328829,415.375,821.50934,483.42468
50,1747308641823448829,1747308641938572829,115.124,872.0112,965.83234
51,1747308641993572829,1747308642218820829,225.248,671.5117,928.80756
52,1747308642278944829,1747308642368944829,90.0,920.5148,979.4158
53,1747308642539192829,1747308644971423829,2432.2309999999998,698.9738,849.5348
54,1747308644996423829,1747308645146559829,150.136,715.06586,838.3697
55,1747308645176546829,1747308645346795829,170.249,701.64795,773.0984
56,1747308645381795829,1747308647578777829,2196.982,766.10657,766.6161
57,1747308647633902829,1747308649715760829,2081.8579999999997,690.61865,676.4826
58,1747308649755885829,1747308650421505829,665.62,768.22235,791.8119
59,1747308650646628829,1747308651872743829,1226.115,791.8411,767.43176
60,1747308651902868829,1747308653774608829,1871.74,821.0845,766.0069
61,1747308653899727829,1747308654355098829,455.371,680.5573,639.0315
62,1747308654570347829,1747308654750473829,180.126,918.09875,628.2312
63,1747308654795471829,1747308655000718829,205.24699999999999,991.5185,480.9216
64,1747308655085843829,1747308655305966829,220.123,704.2884,734.3821
65,1747308655386094829,1747308655641338829,255.244,936.7708,508.9729
66,1747308655671338829,1747308655846462829,175.124,753.31244,612.67944
67,1747308655986602829,1747308656281958829,295.356,956.3221,975.44684
68,1747308656341958829,1747308656472082829,130.124,817.97864,796.7698
69,1747308656527081829,1747308656712330829,185.249,679.09174,746.08795
70,1747308656812457829,1747308656922453829,109.996,669.079,933.9923
71,1747308656952578829,1747308657533073829,580.495,773.04407,780.33923
72,1747308657668197829,1747308657793321829,125.124,1127.0471,374.2402
73,1747308657823331829,1747308658023569829,200.238,1051.7004,440.17136
74,1747308658138568829,1747308658228692829,90.124,905.71594,479.4118
75,1747308658478943829,1747308658709199829,230.256,485.1715,502.15988
76,1747308658734204829,1747308658839313829,105.109,528.9958,472.26843
77,1747308658874312829,1747308659034436829,160.124,613.42914,491.60617
78,1747308659114561829,1747308659304684829,190.123,931.4627,829.4017
