saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
1,1747308621394486829,1747308621424486829,30.0,44.563927,2.8430374,1444.6029,1745.9366
2,1747308621664734829,1747308621699733829,34.998999999999995,68.97215,4.3983335,2001.4747,2731.3652
3,1747308622605601829,1747308622665726829,60.125,168.66002,10.758722,2856.5112,4358.471
4,1747308623000980829,1747308623066097829,65.11699999999999,267.17905,17.011635,4131.263,6930.5645
5,1747308623186221829,1747308623211221829,25.0,27.032207,1.7257104,1056.3315,1123.0034
6,1747308623946840829,1747308624031965829,85.125,198.80287,12.67751,2670.9067,4450.3047
7,1747308624377212829,1747308624547461829,170.249,182.68915,11.632092,3722.9387,8679.7
8,1747308624692584829,1747308624752584829,60.0,276.4435,17.549612,4864.8594,7830.3896
9,1747308625112956829,1747308625162955829,49.998999999999995,161.51137,10.315922,3163.099,4801.032
10,1747308625418212829,1747308625528328829,110.116,261.5335,16.673418,3493.595,6251.5806
11,1747308625648452829,1747308625728576829,80.124,438.18738,27.861998,5692.051,9983.661
12,1747308626023829829,1747308626048826829,24.997,33.25216,2.1238236,1650.8287,1789.4171
13,1747308626379071829,1747308626419195829,40.123999999999995,120.70238,7.709658,3484.4517,4738.3193
14,1747308626659444829,1747308626694443829,34.998999999999995,90.1601,5.7497964,2845.5566,3593.6475
15,1747308626919566829,1747308626964691829,45.125,212.35184,13.548579,4533.38,7088.7456
16,1747308627335063829,1747308627375074829,40.010999999999996,85.61711,5.472967,2281.1182,3204.865
17,1747308627470187829,1747308627695310829,225.123,143.98744,9.197004,2472.15,6410.2344
18,1747308627855559829,1747308627935568829,80.009,381.72812,24.295155,4934.256,8729.413
19,1747308628065682829,1747308628110682829,45.0,226.36432,14.424986,4849.4395,7658.327
20,1747308628441054829,1747308628466054829,25.0,58.311886,3.7215958,1829.9899,2194.1875
21,1747308628791430829,1747308628831426829,39.995999999999995,130.75827,8.344648,3372.3037,4937.164
22,1747308630322789829,1747308630357789829,35.0,76.80529,4.901155,2220.3354,2961.8005
23,1747308630718161829,1747308630753161829,35.0,55.847256,3.5660613,1564.869,2085.9663
24,1747308631113533829,1747308631143533829,30.0,48.596664,3.103857,1626.8969,2005.4899
25,1747308631614029829,1747308631669029829,55.0,244.98003,15.621373,4441.286,7711.2534
26,1747308631789153829,1747308631814152829,24.999,33.429306,2.128247,1274.5771,1436.0132
27,1747308632029401829,1747308632069403829,40.001999999999995,89.611786,5.7120566,2250.039,3332.9316
28,1747308632319649829,1747308632359648829,39.998999999999995,76.26098,4.8619957,1928.5808,2654.1897
29,1747308632519772829,1747308632544909829,25.137,25.796824,1.6475667,985.94867,1163.3607
30,1747308632925144829,1747308632960268829,35.123999999999995,76.953316,4.895651,2251.5134,3053.3271
31,1747308633200516829,1747308633235516829,35.0,60.040737,3.825547,1631.4004,2302.5867
32,1747308635983005829,1747308636083119829,100.11399999999999,317.053,20.24076,3533.9893,5037.926
33,1747308636168243829,1747308636218243829,50.0,178.65137,11.350414,4456.9194,6324.8555
34,1747308636368366829,1747308636408502829,40.135999999999996,142.27176,9.066578,3725.9995,5408.2886
35,1747308636998986829,1747308637018986829,20.0,23.17054,1.4802914,1024.1274,1138.156
36,1747308638200102829,1747308638230102829,30.0,32.323936,2.0647352,1174.3381,1339.8254
37,1747308638325229829,1747308638395225829,69.996,418.56796,26.661638,6608.444,10716.552
38,1747308638600474829,1747308638770597829,170.123,363.93854,23.231573,4391.399,7786.506
39,1747308638870722829,1747308638910721829,39.998999999999995,190.526,12.167461,4499.6177,6494.9956
40,1747308639185973829,1747308639271093829,85.11999999999999,428.95462,27.343803,5553.1826,8290.952
41,1747308639471342829,1747308639501342829,30.0,47.51193,3.0317383,1290.1718,1651.3547
